analysis_type	roi_set	roi	condition	condition_label	variant	n_subjects	mean_ers	t	p	cohens_dz	q_bh_within_family
ers_one_sample_gt_zero	meta_spatial	meta_R_hippocampus	yy	YY	run4_to_retrieval	26	0.0033270365717585687	0.2625394952191325	0.7950569381487704	0.051488231123506006	0.8195119916456706
ers_one_sample_gt_zero	meta_spatial	meta_L_PPC_SPL	kj	KJ	run4_to_retrieval	26	0.007922163744826754	0.2305872977303306	0.8195119916456706	0.045221889642830186	0.8195119916456706
ers_one_sample_gt_zero	meta_spatial	meta_L_RSC_PCC	kj	KJ	run3_to_retrieval	26	0.010788586766554552	0.27187717855863563	0.7879491522282372	0.05331950149119358	0.8754990580313747
ers_yy_minus_kj	meta_spatial	meta_R_PPC_SPL	yy_minus_kj	YY-KJ	run3_to_retrieval	26	-0.018734134269969976	-0.8966247328772678	0.37847247092389924	-0.1758425772811964	0.8795244265121251
ers_yy_minus_kj	meta_spatial	meta_L_PPA_PHG	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.02279523003459183	0.8953949508707749	0.3791165961180646	0.17560139718702053	0.8795244265121251
ers_yy_minus_kj	meta_spatial	meta_R_precuneus	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.024948818457196716	0.7851172531134307	0.4397622132560626	0.15397416131091343	0.8795244265121251
ers_one_sample_gt_zero	meta_spatial	meta_R_hippocampus	kj	KJ	run3_to_retrieval	26	0.00447268230942199	0.17249080878061435	0.8644405189096089	0.03382823076491362	0.8985384033760269
ers_one_sample_gt_zero	meta_spatial	meta_R_hippocampus	yy	YY	run3_to_retrieval	26	-0.0019998366913352604	-0.1288103473908856	0.8985384033760269	-0.025261787496107347	0.8985384033760269
ers_yy_minus_kj	meta_spatial	meta_L_precuneus	yy_minus_kj	YY-KJ	run4_to_retrieval	26	-0.03419258215422121	-1.1983341597122612	0.24202404472649078	-0.23501266400683204	0.9060872203588135
ers_yy_minus_kj	meta_spatial	meta_R_PPC_SPL	yy_minus_kj	YY-KJ	run4_to_retrieval	26	-0.03142626347700177	-0.9896280841921846	0.331838102899942	-0.19408203509597666	0.9060872203588135
ers_yy_minus_kj	meta_spatial	meta_L_PPA_PHG	yy_minus_kj	YY-KJ	run4_to_retrieval	26	0.026793728451046137	0.9235553858358776	0.3645464796354747	0.18112411285618668	0.9060872203588135
ers_yy_minus_kj	meta_spatial	meta_R_RSC_PCC	yy_minus_kj	YY-KJ	run4_to_retrieval	26	0.022509745437492998	0.8249347766522057	0.4172107962929005	0.16178302013811163	0.9060872203588135
ers_yy_minus_kj	meta_spatial	meta_L_PPC_SPL	yy_minus_kj	YY-KJ	run4_to_retrieval	26	0.026549203949776397	0.7466832268157111	0.46221965613225846	0.1464366286156053	0.9060872203588135
ers_yy_minus_kj	meta_spatial	meta_R_hippocampus	yy_minus_kj	YY-KJ	run4_to_retrieval	26	-0.016305247493981427	-0.5877219589123698	0.561990592262933	-0.11526175911773656	0.9060872203588135
ers_yy_minus_kj	meta_spatial	meta_R_PPA_PHG	yy_minus_kj	YY-KJ	run4_to_retrieval	26	0.01151344644112326	0.4816257999888385	0.6342610542511695	0.09445459047664703	0.9060872203588135
ers_yy_minus_kj	meta_spatial	meta_R_precuneus	yy_minus_kj	YY-KJ	run4_to_retrieval	26	0.009940883832351137	0.33112925677636895	0.7433064200991965	0.0649397900701608	0.9291330251239955
ers_yy_minus_kj	meta_spatial	meta_L_RSC_PCC	yy_minus_kj	YY-KJ	run4_to_retrieval	26	0.0021217040893889596	0.08311079388048905	0.9344253438845499	0.016299367684107748	0.9365701081499637
ers_yy_minus_kj	meta_spatial	meta_L_hippocampus	yy_minus_kj	YY-KJ	run4_to_retrieval	26	-0.001763817774089165	-0.08038627117080129	0.9365701081499638	-0.015765044820187573	0.9365701081499637
ers_yy_minus_kj	meta_spatial	meta_R_PPA_PHG	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.014830130455780558	0.4453740387035866	0.6598822715831227	0.0873450351614314	0.9698614472122877
ers_yy_minus_kj	meta_spatial	meta_L_precuneus	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.01020823013386449	0.28896377485332797	0.7749917430978026	0.056670458719175046	0.9698614472122877
ers_yy_minus_kj	meta_spatial	meta_R_hippocampus	yy_minus_kj	YY-KJ	run3_to_retrieval	26	-0.006472519000757252	-0.2504180121037522	0.804310637385813	-0.04911101270277487	0.9698614472122877
ers_yy_minus_kj	meta_spatial	meta_L_PPC_SPL	yy_minus_kj	YY-KJ	run3_to_retrieval	26	-0.002908042047269727	-0.08490567484374707	0.9330126752658612	-0.016651372801655014	0.9698614472122877
ers_yy_minus_kj	meta_spatial	meta_L_hippocampus	yy_minus_kj	YY-KJ	run3_to_retrieval	26	-0.0006997878886796729	-0.03816222957483007	0.9698614472122877	-0.007484228972471777	0.9698614472122877
ers_yy_minus_kj	meta_spatial	meta_L_PPC_SPL	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	-0.0009811897660959316	-0.03444667443718134	0.9727945283730487	-0.006755548658983286	0.9727945283730486
