_source_roi_tag	roi_set	roi	condition	variant	subject	mean_remembered	mean_forgotten	delta	n_subjects	mean_delta	std_delta	t	p	q_bh
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run3_to_retrieval	sub-18	0.014255168291315871	-0.015774734678172784	0.030029902969488653	25	0.0033656840082315754	0.10976636799079188	0.1533112587142319	0.8794345875832388	0.9691728108060181
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run3_to_retrieval	sub-19	0.3065644484902064	0.18169612979190686	0.12486831869829956	25	0.0033656840082315754	0.10976636799079188	0.1533112587142319	0.8794345875832388	0.9691728108060181
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run3_to_retrieval	sub-20	0.09476779957315164	0.3215808749537611	-0.22681307538060946	25	0.0033656840082315754	0.10976636799079188	0.1533112587142319	0.8794345875832388	0.9691728108060181
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run3_to_retrieval	sub-21	0.20370912898261967	0.10138994774528416	0.10231918123733551	25	0.0033656840082315754	0.10976636799079188	0.1533112587142319	0.8794345875832388	0.9691728108060181
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run3_to_retrieval	sub-22	0.09661365664369415	0.025104112025618967	0.07150954461807518	25	0.0033656840082315754	0.10976636799079188	0.1533112587142319	0.8794345875832388	0.9691728108060181
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run3_to_retrieval	sub-24	0.08902798021867175	0.11115692803002042	-0.022128947811348665	25	0.0033656840082315754	0.10976636799079188	0.1533112587142319	0.8794345875832388	0.9691728108060181
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run3_to_retrieval	sub-25	0.06152094810441359	0.0984513136977352	-0.036930365593321614	25	0.0033656840082315754	0.10976636799079188	0.1533112587142319	0.8794345875832388	0.9691728108060181
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run3_to_retrieval	sub-26	0.168674993652688	0.21425451089930256	-0.04557951724661455	25	0.0033656840082315754	0.10976636799079188	0.1533112587142319	0.8794345875832388	0.9691728108060181
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run3_to_retrieval	sub-27	0.0009652073645882795	0.0646132073175982	-0.06364799995300992	25	0.0033656840082315754	0.10976636799079188	0.1533112587142319	0.8794345875832388	0.9691728108060181
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run3_to_retrieval	sub-28	-0.08643124665697721	-0.14972216242791508	0.06329091577093787	25	0.0033656840082315754	0.10976636799079188	0.1533112587142319	0.8794345875832388	0.9691728108060181
