roi_set	roi	variant	response	status	model	n_trials	n_subjects	ers_beta	ers_se	ers_p	condition_beta	condition_se	condition_p	interaction_beta	interaction_se	interaction_p	converged	loglik	q_bh_within_family
meta_metaphor	meta_R_pMTG_pSTS	run3_to_retrieval	memory	ok	gee_binomial	884	26	0.2122360381296872	0.14894258549203085	0.1541710707813773	0.545798850881581	0.17549782827451305	0.0018708516059941472	-0.19372552470942422	0.17688167001384164	0.27341733862216533	True		0.45759512964174726
meta_metaphor	meta_R_AG	run3_to_retrieval	memory	ok	gee_binomial	884	26	0.251421800668449	0.17753419966741982	0.15672047245863108	0.5501335014591789	0.1719492840888874	0.001377168370721316	-0.21475531004954848	0.20498610864391684	0.2947962644568606	True		0.45759512964174726
meta_metaphor	meta_L_temporal_pole	run3_to_retrieval	memory	ok	gee_binomial	884	26	-0.2949651095028921	0.21576183753028957	0.17159817361565521	0.5770922396730751	0.17562992799238758	0.0010167793199025018	0.3403673700769185	0.24345601590416965	0.16209350554884205	True		0.45759512964174726
meta_metaphor	meta_R_AG	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.04170402321163359	0.03204551532042751	0.19312168496297488	-0.07859880926836273	0.031959525104125655	0.013919914689285207	0.036072791661629466	0.033610535448344706	0.2831551656410336	True	inf	0.4787658448985119
meta_metaphor	meta_L_IFG	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.03730770001609285	0.03170992820040295	0.23938292244925596	-0.06991682469441213	0.031380857184227416	0.02587993086897924	0.04506309886887781	0.03306913544673187	0.17297909915316279	True	inf	0.4787658448985119
meta_spatial	meta_L_hippocampus	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.05957284678858544	0.030266760453752404	0.04903815695400772	-0.07394143706682252	0.03138462509775164	0.01847408973644038	0.0558177275463078	0.031786132596159006	0.07908153982462786	True	inf	0.49038156954007717
meta_spatial	meta_L_PPA_PHG	max_run_to_retrieval	memory	ok	gee_binomial	884	26	-0.29115185982335295	0.20635971651331073	0.15827562301100462	0.6060798549977513	0.17206344162636383	0.0004276247047670537	0.27549261097390765	0.1982760720051718	0.16469913890395027	True		0.4997183647086878
meta_spatial	meta_R_RSC_PCC	max_run_to_retrieval	memory	ok	gee_binomial	884	26	0.2484450591822243	0.19381416046633604	0.19988734588347512	0.5530646453638389	0.1731330560331467	0.0014009823910995198	-0.2916470657064454	0.18823951492703736	0.12129993789954677	True		0.4997183647086878
meta_metaphor	meta_L_AG	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.03249406336199814	0.0325832360335706	0.31863675438565764	-0.06358578650409093	0.03200655077066196	0.04696129182801313	0.022647661222043466	0.03373664028792901	0.5020246281096279	True	inf	0.5010199368453465
meta_metaphor	meta_L_temporal_pole	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.026521111802111665	0.02994277957176618	0.3757649526340099	-0.06899574588656415	0.03145138485232834	0.028255055870576667	-0.029553371950910345	0.03145408928855706	0.34743730137493545	True	inf	0.5010199368453465
