roi_set	roi	variant	response	status	n_trials	n_subjects	ers_beta	ers_se	ers_p	condition_beta	condition_p	interaction_beta	interaction_p	family	q_bh_within_family
meta_spatial	meta_R_precuneus	run4_to_retrieval	memory	ok	884	26	0.07213338714939957	0.1929762277695225	0.7085574639876611	0.5862084706489976	0.0006239893670132646	0.04664182014784558	0.7784267477443323	binomial	0.7872860710974012
meta_spatial	meta_L_PPA_PHG	max_run_to_retrieval	log_rt_correct	ok	614	26	0.021620830818815644	0.025747796674720557	0.401067771784704	-0.07214188810565288	0.06985133751360861	-0.01531960905146137	0.5945341175886403	gaussian	0.802135543569408
meta_spatial	meta_R_precuneus	max_run_to_retrieval	log_rt_correct	ok	614	26	-0.0329090322508712	0.047763682253454176	0.4908251756262174	-0.06851107157938247	0.08816288247816008	0.02488841541212707	0.5730404568176806	gaussian	0.8180419593770291
meta_spatial	meta_R_precuneus	run3_to_retrieval	log_rt_correct	ok	614	26	-0.03493128360666579	0.03664455461105677	0.3404653270277742	-0.07053197123140087	0.07004733953712834	0.024894464966898826	0.47587303656262403	gaussian	0.8250303947641374
meta_spatial	meta_R_PPA_PHG	run3_to_retrieval	log_rt_correct	ok	614	26	0.020960789690095388	0.03131691910927509	0.5032964750405274	-0.0695988011883564	0.09101320438413144	-0.027644336620687382	0.29152238104824024	gaussian	0.8250303947641374
meta_spatial	meta_R_RSC_PCC	run3_to_retrieval	log_rt_correct	ok	614	26	0.017570061184164026	0.03476582758930855	0.6132897973064687	-0.07023320083093143	0.08318082875792053	-0.00441480603625038	0.8964496820039743	gaussian	0.8250303947641374
meta_spatial	meta_L_PPA_PHG	run3_to_retrieval	log_rt_correct	ok	614	26	0.01131511157639426	0.024314847261736727	0.6416750210988824	-0.07016973744670778	0.08553512116155389	-0.005064134918838952	0.8455318669491461	gaussian	0.8250303947641374
meta_spatial	meta_R_PPC_SPL	run3_to_retrieval	log_rt_correct	ok	614	26	-0.00909189283055902	0.02070141672913796	0.6605225537566723	-0.06875553099906169	0.09111250650361036	0.009379256616089529	0.7250936367481179	gaussian	0.8250303947641374
meta_spatial	meta_L_hippocampus	run3_to_retrieval	log_rt_correct	ok	614	26	-0.013146723436714606	0.047723483805953745	0.7829497730935668	-0.06833711478395768	0.09421844176172256	0.008928007424029992	0.8383292960086947	gaussian	0.8250303947641374
meta_spatial	meta_R_hippocampus	run3_to_retrieval	log_rt_correct	ok	614	26	-0.008857630703009971	0.040065332346866205	0.8250303947641374	-0.06866202293342519	0.09158364017473414	-0.0052699340212253795	0.8996266191492703	gaussian	0.8250303947641374
meta_spatial	meta_L_PPC_SPL	run4_to_retrieval	log_rt_correct	ok	614	26	0.008285264010975372	0.039342949672495964	0.8332065766868711	-0.06800002901563675	0.09188359417151302	-0.009073748861129102	0.7845929465908854	gaussian	0.833206576686871
meta_spatial	meta_L_precuneus	max_run_to_retrieval	log_rt_correct	ok	614	26	-0.011181715663622046	0.03134590615154445	0.7213013354202876	-0.06997114184241442	0.09600655163027115	0.009090823954007647	0.7608825292438641	gaussian	0.9096113832565499
meta_spatial	meta_L_PPC_SPL	max_run_to_retrieval	log_rt_correct	ok	614	26	0.007589607414815527	0.02179661642291392	0.7276891066052399	-0.0669824195372186	0.09157720992518711	-0.0017312129601836958	0.9342553851642603	gaussian	0.9096113832565499
meta_spatial	meta_R_PPC_SPL	max_run_to_retrieval	log_rt_correct	ok	614	26	0.005630967674466009	0.02483575130928156	0.8206350198633938	-0.06822642882609974	0.09894319152956914	-0.0032938845000856317	0.9038461556893691	gaussian	0.9118166887371042
meta_spatial	meta_R_hippocampus	run4_to_retrieval	memory	ok	884	26	0.01578813538110924	0.162460279732542	0.9225822510187857	0.5874280514946882	0.0008674187538679284	0.012016116566572947	0.9456236834539707	binomial	0.9225822510187858
