subject	roi_set	roi	condition	condition_label	mean_reliability	n_items
sub-08	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.056997608312192166	35
sub-08	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.1556428867787486	35
sub-08	meta_metaphor	meta_L_temporal_pole	yy	YY	0.055675837008414164	35
sub-08	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.054028932440486135	35
sub-08	meta_metaphor	meta_R_AG	yy	YY	0.1375933033150934	35
sub-08	meta_metaphor	meta_R_AG	kj	KJ	0.14780974866238367	35
sub-08	meta_metaphor	meta_R_IFG	yy	YY	0.07916005549236224	35
sub-08	meta_metaphor	meta_R_IFG	kj	KJ	0.22274455966233325	35
sub-08	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.011166014178876879	35
sub-08	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	-0.04131488513817879	35
sub-08	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.22361004772819684	35
sub-08	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.3701210945969086	35
sub-09	meta_metaphor	meta_L_AG	yy	YY	0.1918376460007066	35
sub-09	meta_metaphor	meta_L_AG	kj	KJ	0.1402684591604231	35
sub-09	meta_metaphor	meta_L_IFG	yy	YY	0.09041579088958492	35
sub-09	meta_metaphor	meta_L_IFG	kj	KJ	0.08822149195958845	35
sub-09	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	-0.09856405478530202	35
sub-09	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.020381882631510775	35
sub-09	meta_metaphor	meta_L_temporal_pole	yy	YY	-0.031287509070159904	35
sub-09	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.04159345682603769	35
sub-09	meta_metaphor	meta_R_AG	yy	YY	-0.08002649447795925	35
sub-09	meta_metaphor	meta_R_AG	kj	KJ	-0.027490523079062208	35
sub-09	meta_metaphor	meta_R_IFG	yy	YY	0.0920565513310646	35
sub-09	meta_metaphor	meta_R_IFG	kj	KJ	0.15665117909538842	35
sub-09	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.10898657943869233	35
sub-09	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	-0.0673542239950911	35
sub-09	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.006889610549332544	35
sub-09	meta_metaphor	meta_R_temporal_pole	kj	KJ	-4.897398448290232e-05	35
sub-10	meta_metaphor	meta_L_AG	yy	YY	0.14665434653846973	35
sub-10	meta_metaphor	meta_L_AG	kj	KJ	0.08519433126978532	35
sub-10	meta_metaphor	meta_L_IFG	yy	YY	0.047679257820540534	35
sub-10	meta_metaphor	meta_L_IFG	kj	KJ	0.08868490629539233	35
sub-10	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.12374769466474998	35
sub-10	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.07705892277803426	35
sub-10	meta_metaphor	meta_L_temporal_pole	yy	YY	0.07588703176575659	35
sub-10	meta_metaphor	meta_L_temporal_pole	kj	KJ	-0.025628952997228817	35
sub-10	meta_metaphor	meta_R_AG	yy	YY	0.12383106418934887	35
sub-10	meta_metaphor	meta_R_AG	kj	KJ	0.027502219469039125	35
sub-10	meta_metaphor	meta_R_IFG	yy	YY	0.06637942726840704	35
sub-10	meta_metaphor	meta_R_IFG	kj	KJ	-0.05386915756558118	35
sub-10	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	-0.006133504781480021	35
sub-10	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.013232878301293946	35
sub-10	meta_metaphor	meta_R_temporal_pole	yy	YY	0.09202127845775625	35
sub-10	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.07574077209512409	35
sub-11	meta_metaphor	meta_L_AG	yy	YY	-0.07623485911642483	35
sub-11	meta_metaphor	meta_L_AG	kj	KJ	-0.2725678030445061	35
sub-11	meta_metaphor	meta_L_IFG	yy	YY	0.2399165300153774	35
sub-11	meta_metaphor	meta_L_IFG	kj	KJ	0.19384526733999724	35
sub-11	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.2842513355881227	35
sub-11	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.26139553426390183	35
sub-11	meta_metaphor	meta_L_temporal_pole	yy	YY	-0.018657723520015712	35
sub-11	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.03533367582750664	35
sub-11	meta_metaphor	meta_R_AG	yy	YY	0.21378518936985813	35
sub-11	meta_metaphor	meta_R_AG	kj	KJ	0.12265252437104651	35
sub-11	meta_metaphor	meta_R_IFG	yy	YY	0.20678683434576853	35
sub-11	meta_metaphor	meta_R_IFG	kj	KJ	0.21531606143426796	35
sub-11	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	-0.011190622203879197	35
sub-11	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	-0.003509650947630364	35
sub-11	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.03569206471845384	35
sub-11	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.06204585663144187	35
sub-12	meta_metaphor	meta_L_AG	yy	YY	0.2098627023320059	35
sub-12	meta_metaphor	meta_L_AG	kj	KJ	0.173127065884037	35
sub-12	meta_metaphor	meta_L_IFG	yy	YY	0.11224440417018908	35
sub-12	meta_metaphor	meta_L_IFG	kj	KJ	0.08186662270366375	35
sub-12	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.22941498119250506	35
sub-12	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.249779404834646	35
sub-12	meta_metaphor	meta_L_temporal_pole	yy	YY	0.07083434175735012	35
sub-12	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.20727494069714528	35
sub-12	meta_metaphor	meta_R_AG	yy	YY	0.06363007391325043	35
sub-12	meta_metaphor	meta_R_AG	kj	KJ	-0.032397547596897766	35
sub-12	meta_metaphor	meta_R_IFG	yy	YY	-0.07189632964465212	35
sub-12	meta_metaphor	meta_R_IFG	kj	KJ	0.03802754758487446	35
sub-12	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.09725463282355763	35
sub-12	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.004883205957675793	35
sub-12	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.0051375905091799266	35
sub-12	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.002679440633012914	35
sub-13	meta_metaphor	meta_L_AG	yy	YY	0.028807571169345986	35
