subject	roi_set	roi	condition	condition_label	run	target_phase	reinstatement	n_trials
sub-03	meta_spatial	meta_R_RSC_PCC	kj	KJ	3	retrieval	0.14382153290095223	4
sub-03	meta_spatial	meta_R_RSC_PCC	kj	KJ	4	retrieval	0.024339447359340016	4
sub-03	meta_spatial	meta_R_hippocampus	yy	YY	3	retrieval	0.01120355203635034	30
sub-03	meta_spatial	meta_R_hippocampus	yy	YY	4	retrieval	0.02105208293254257	30
sub-03	meta_spatial	meta_R_hippocampus	kj	KJ	3	retrieval	-0.1016058391109315	4
sub-03	meta_spatial	meta_R_hippocampus	kj	KJ	4	retrieval	-0.1389958897506233	4
sub-03	meta_spatial	meta_R_precuneus	yy	YY	3	retrieval	-0.012388716580918013	30
sub-03	meta_spatial	meta_R_precuneus	yy	YY	4	retrieval	-0.02438856116395769	30
sub-03	meta_spatial	meta_R_precuneus	kj	KJ	3	retrieval	0.08727763095650709	4
sub-03	meta_spatial	meta_R_precuneus	kj	KJ	4	retrieval	-0.07075101363592207	4
sub-04	meta_spatial	meta_L_PPA_PHG	yy	YY	3	retrieval	0.001871926949093467	30
sub-04	meta_spatial	meta_L_PPA_PHG	yy	YY	4	retrieval	0.02325851539510692	30
sub-04	meta_spatial	meta_L_PPA_PHG	kj	KJ	3	retrieval	0.013971311033198732	4
sub-04	meta_spatial	meta_L_PPA_PHG	kj	KJ	4	retrieval	-0.16167864120616307	4
sub-04	meta_spatial	meta_L_PPC_SPL	yy	YY	3	retrieval	-0.06370326591675182	30
sub-04	meta_spatial	meta_L_PPC_SPL	yy	YY	4	retrieval	-0.017451803319899352	30
sub-04	meta_spatial	meta_L_PPC_SPL	kj	KJ	3	retrieval	0.011706926707800987	4
sub-04	meta_spatial	meta_L_PPC_SPL	kj	KJ	4	retrieval	-0.04898577611823507	4
sub-04	meta_spatial	meta_L_RSC_PCC	yy	YY	3	retrieval	0.007981083934746903	30
sub-04	meta_spatial	meta_L_RSC_PCC	yy	YY	4	retrieval	-0.02653547519637171	30
sub-04	meta_spatial	meta_L_RSC_PCC	kj	KJ	3	retrieval	0.11703092970411788	4
sub-04	meta_spatial	meta_L_RSC_PCC	kj	KJ	4	retrieval	0.0368802257348014	4
sub-04	meta_spatial	meta_L_hippocampus	yy	YY	3	retrieval	0.02676590196322984	30
sub-04	meta_spatial	meta_L_hippocampus	yy	YY	4	retrieval	0.021012829808549807	30
sub-04	meta_spatial	meta_L_hippocampus	kj	KJ	3	retrieval	-0.0453653788548788	4
sub-04	meta_spatial	meta_L_hippocampus	kj	KJ	4	retrieval	0.09195812731211567	4
sub-04	meta_spatial	meta_L_precuneus	yy	YY	3	retrieval	-0.04357322679282928	30
sub-04	meta_spatial	meta_L_precuneus	yy	YY	4	retrieval	-0.048940749115312654	30
sub-04	meta_spatial	meta_L_precuneus	kj	KJ	3	retrieval	0.1530054110651824	4
sub-04	meta_spatial	meta_L_precuneus	kj	KJ	4	retrieval	-0.03089673649413832	4
