subject	roi_set	roi	condition	condition_label	mean_reliability	n_items
sub-06	meta_spatial	meta_L_hippocampus	yy	YY	0.023937523215186083	35
sub-06	meta_spatial	meta_L_hippocampus	kj	KJ	0.037164197350669406	35
sub-06	meta_spatial	meta_L_precuneus	yy	YY	0.15795280540835488	35
sub-06	meta_spatial	meta_L_precuneus	kj	KJ	0.16717364664488213	35
sub-06	meta_spatial	meta_R_PPA_PHG	yy	YY	-0.03439991215433449	35
sub-06	meta_spatial	meta_R_PPA_PHG	kj	KJ	0.06604488790344279	35
sub-06	meta_spatial	meta_R_PPC_SPL	yy	YY	0.029278684316179745	35
sub-06	meta_spatial	meta_R_PPC_SPL	kj	KJ	0.16484663411157785	35
sub-06	meta_spatial	meta_R_RSC_PCC	yy	YY	0.05121196628810309	35
sub-06	meta_spatial	meta_R_RSC_PCC	kj	KJ	0.05126229458931514	35
sub-06	meta_spatial	meta_R_hippocampus	yy	YY	0.05150366367278141	35
sub-06	meta_spatial	meta_R_hippocampus	kj	KJ	0.019623253507590494	35
sub-06	meta_spatial	meta_R_precuneus	yy	YY	0.12001170157167936	35
sub-06	meta_spatial	meta_R_precuneus	kj	KJ	0.19790297695298484	35
sub-07	meta_spatial	meta_L_PPA_PHG	yy	YY	0.3924771708903417	35
sub-07	meta_spatial	meta_L_PPA_PHG	kj	KJ	0.36727415139399905	35
sub-07	meta_spatial	meta_L_PPC_SPL	yy	YY	-0.05611181982713457	35
sub-07	meta_spatial	meta_L_PPC_SPL	kj	KJ	0.011240562189174852	35
sub-07	meta_spatial	meta_L_RSC_PCC	yy	YY	0.4531569556485078	35
sub-07	meta_spatial	meta_L_RSC_PCC	kj	KJ	0.32934253648092116	35
sub-07	meta_spatial	meta_L_hippocampus	yy	YY	0.07763665294059002	35
sub-07	meta_spatial	meta_L_hippocampus	kj	KJ	0.11157470564910808	35
sub-07	meta_spatial	meta_L_precuneus	yy	YY	0.04211659698082767	35
sub-07	meta_spatial	meta_L_precuneus	kj	KJ	-0.041930770254882635	35
sub-07	meta_spatial	meta_R_PPA_PHG	yy	YY	0.262084161807429	35
sub-07	meta_spatial	meta_R_PPA_PHG	kj	KJ	0.28935760864874177	35
sub-07	meta_spatial	meta_R_PPC_SPL	yy	YY	0.07578218294604956	35
sub-07	meta_spatial	meta_R_PPC_SPL	kj	KJ	0.12017193304185125	35
sub-07	meta_spatial	meta_R_RSC_PCC	yy	YY	0.22485907705531305	35
sub-07	meta_spatial	meta_R_RSC_PCC	kj	KJ	0.16581428960659933	35
sub-07	meta_spatial	meta_R_hippocampus	yy	YY	0.06468879424065341	35
sub-07	meta_spatial	meta_R_hippocampus	kj	KJ	0.04461231539303835	35
sub-07	meta_spatial	meta_R_precuneus	yy	YY	0.0836301575930815	35
sub-07	meta_spatial	meta_R_precuneus	kj	KJ	0.15620374598359105	35
sub-08	meta_spatial	meta_L_PPA_PHG	yy	YY	-0.08376391414599034	35
sub-08	meta_spatial	meta_L_PPA_PHG	kj	KJ	-0.16167987634044764	35
sub-08	meta_spatial	meta_L_PPC_SPL	yy	YY	0.20275897695536144	35
sub-08	meta_spatial	meta_L_PPC_SPL	kj	KJ	0.1583254562932434	35
sub-08	meta_spatial	meta_L_RSC_PCC	yy	YY	0.04824681798677399	35
sub-08	meta_spatial	meta_L_RSC_PCC	kj	KJ	0.07716632348297285	35
sub-08	meta_spatial	meta_L_hippocampus	yy	YY	-0.042984165089314165	35
sub-08	meta_spatial	meta_L_hippocampus	kj	KJ	-0.050526354724055346	35
sub-08	meta_spatial	meta_L_precuneus	yy	YY	0.007483689967538768	35
sub-08	meta_spatial	meta_L_precuneus	kj	KJ	0.0858904550673563	35
sub-08	meta_spatial	meta_R_PPA_PHG	yy	YY	-0.24174391174847096	35
sub-08	meta_spatial	meta_R_PPA_PHG	kj	KJ	-0.21701872756336044	35
sub-08	meta_spatial	meta_R_PPC_SPL	yy	YY	-0.04116852436006347	35
sub-08	meta_spatial	meta_R_PPC_SPL	kj	KJ	0.036668253929909654	35
sub-08	meta_spatial	meta_R_RSC_PCC	yy	YY	0.13215029964111494	35
sub-08	meta_spatial	meta_R_RSC_PCC	kj	KJ	0.08708041228975746	35
sub-08	meta_spatial	meta_R_hippocampus	yy	YY	-0.1167557606172127	35
sub-08	meta_spatial	meta_R_hippocampus	kj	KJ	-0.09977925743073605	35
sub-08	meta_spatial	meta_R_precuneus	yy	YY	0.07577590115228947	35
sub-08	meta_spatial	meta_R_precuneus	kj	KJ	0.20492273886613355	35
sub-09	meta_spatial	meta_L_PPA_PHG	yy	YY	0.0015650321826884196	35
sub-09	meta_spatial	meta_L_PPA_PHG	kj	KJ	0.18726027159766284	35
sub-09	meta_spatial	meta_L_PPC_SPL	yy	YY	-0.13549605842359608	35
sub-09	meta_spatial	meta_L_PPC_SPL	kj	KJ	-0.1769167315427185	35
sub-09	meta_spatial	meta_L_RSC_PCC	yy	YY	0.06360482020157894	35
sub-09	meta_spatial	meta_L_RSC_PCC	kj	KJ	0.057147988412116685	35
sub-09	meta_spatial	meta_L_hippocampus	yy	YY	0.06132616263823257	35
sub-09	meta_spatial	meta_L_hippocampus	kj	KJ	0.039103419443114885	35
sub-09	meta_spatial	meta_L_precuneus	yy	YY	0.10560888841846065	35
sub-09	meta_spatial	meta_L_precuneus	kj	KJ	0.11224653781803891	35
sub-09	meta_spatial	meta_R_PPA_PHG	yy	YY	0.05267617281385384	35
sub-09	meta_spatial	meta_R_PPA_PHG	kj	KJ	0.16808636041401334	35
sub-09	meta_spatial	meta_R_PPC_SPL	yy	YY	-0.09759744393671772	35
sub-09	meta_spatial	meta_R_PPC_SPL	kj	KJ	-0.08633412540840028	35
sub-09	meta_spatial	meta_R_RSC_PCC	yy	YY	0.04457145035909533	35
sub-09	meta_spatial	meta_R_RSC_PCC	kj	KJ	0.11407046808348759	35
sub-09	meta_spatial	meta_R_hippocampus	yy	YY	-0.002046818616060547	35
