subject	roi_set	roi	condition	condition_label	run	target_phase	reinstatement	n_trials
sub-04	meta_metaphor	meta_R_AG	yy	YY	4	retrieval	0.007506124187617058	30
sub-04	meta_metaphor	meta_R_AG	kj	KJ	3	retrieval	-0.02907141411608888	4
sub-04	meta_metaphor	meta_R_AG	kj	KJ	4	retrieval	-0.01939609055655743	4
sub-04	meta_metaphor	meta_R_IFG	yy	YY	3	retrieval	-0.04724350254978192	30
sub-04	meta_metaphor	meta_R_IFG	yy	YY	4	retrieval	-0.018508301582902613	30
sub-04	meta_metaphor	meta_R_IFG	kj	KJ	3	retrieval	-0.03340193198949584	4
sub-04	meta_metaphor	meta_R_IFG	kj	KJ	4	retrieval	-0.05207459379183249	4
sub-04	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	3	retrieval	-0.015290741047755995	30
sub-04	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	4	retrieval	0.02598651169045826	30
sub-04	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	3	retrieval	-0.03344158138785879	4
sub-04	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	4	retrieval	-0.10576698584975552	4
sub-04	meta_metaphor	meta_R_temporal_pole	yy	YY	3	retrieval	-0.005752921712919458	30
sub-04	meta_metaphor	meta_R_temporal_pole	yy	YY	4	retrieval	-0.014672204882525408	30
sub-04	meta_metaphor	meta_R_temporal_pole	kj	KJ	3	retrieval	-0.05116258728941937	4
sub-04	meta_metaphor	meta_R_temporal_pole	kj	KJ	4	retrieval	0.016427501287912046	4
sub-05	meta_metaphor	meta_L_AG	yy	YY	3	retrieval	1.5590984232416913e-05	30
sub-05	meta_metaphor	meta_L_AG	yy	YY	4	retrieval	-0.028673898225936714	30
sub-05	meta_metaphor	meta_L_AG	kj	KJ	3	retrieval	0.06777193217926139	4
sub-05	meta_metaphor	meta_L_AG	kj	KJ	4	retrieval	-0.012011858847123247	4
sub-05	meta_metaphor	meta_L_IFG	yy	YY	3	retrieval	0.024873658552346915	30
sub-05	meta_metaphor	meta_L_IFG	yy	YY	4	retrieval	0.016484986346235624	30
sub-05	meta_metaphor	meta_L_IFG	kj	KJ	3	retrieval	-0.013485369233818434	4
sub-05	meta_metaphor	meta_L_IFG	kj	KJ	4	retrieval	-0.16858099433101187	4
sub-05	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	3	retrieval	-0.007070170183126817	30
sub-05	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	4	retrieval	-0.017634201534094097	30
sub-05	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	3	retrieval	0.21904153119053366	4
sub-05	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	4	retrieval	-0.04191566510690915	4
sub-05	meta_metaphor	meta_L_temporal_pole	yy	YY	3	retrieval	-0.00326827433328216	30
sub-05	meta_metaphor	meta_L_temporal_pole	yy	YY	4	retrieval	0.011649626565766513	30
sub-05	meta_metaphor	meta_L_temporal_pole	kj	KJ	3	retrieval	0.043181717318320385	4
sub-05	meta_metaphor	meta_L_temporal_pole	kj	KJ	4	retrieval	0.12353130306238598	4
sub-05	meta_metaphor	meta_R_AG	yy	YY	3	retrieval	-0.0005238455208450214	30
sub-05	meta_metaphor	meta_R_AG	yy	YY	4	retrieval	-0.023021328314893376	30
sub-05	meta_metaphor	meta_R_AG	kj	KJ	3	retrieval	-0.04213625038298355	4
sub-05	meta_metaphor	meta_R_AG	kj	KJ	4	retrieval	0.006201374726435838	4
sub-05	meta_metaphor	meta_R_IFG	yy	YY	3	retrieval	-0.005593623982410398	30
sub-05	meta_metaphor	meta_R_IFG	yy	YY	4	retrieval	-0.0064929294333364	30
sub-05	meta_metaphor	meta_R_IFG	kj	KJ	3	retrieval	0.1638034372025458	4
sub-05	meta_metaphor	meta_R_IFG	kj	KJ	4	retrieval	0.04166081011989626	4
sub-05	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	3	retrieval	-0.016480612615242154	30
sub-05	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	4	retrieval	-0.010836884352618866	30
sub-05	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	3	retrieval	0.04840848410755605	4
sub-05	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	4	retrieval	0.011201408186250282	4
sub-05	meta_metaphor	meta_R_temporal_pole	yy	YY	3	retrieval	0.0021622769538577375	30
sub-05	meta_metaphor	meta_R_temporal_pole	yy	YY	4	retrieval	0.00017105891958002847	30
sub-05	meta_metaphor	meta_R_temporal_pole	kj	KJ	3	retrieval	-0.0003392933113611854	4
sub-05	meta_metaphor	meta_R_temporal_pole	kj	KJ	4	retrieval	-0.0003951717431222115	4
sub-06	meta_metaphor	meta_L_AG	yy	YY	3	retrieval	0.0051962538515147195	30
sub-06	meta_metaphor	meta_L_AG	yy	YY	4	retrieval	0.031805088690875	30
sub-06	meta_metaphor	meta_L_AG	kj	KJ	3	retrieval	-0.01633746228653539	4
sub-06	meta_metaphor	meta_L_AG	kj	KJ	4	retrieval	-0.11479990746237656	4
sub-06	meta_metaphor	meta_L_IFG	yy	YY	3	retrieval	-0.019787169833533323	30
sub-06	meta_metaphor	meta_L_IFG	yy	YY	4	retrieval	0.00957180092696693	30
sub-06	meta_metaphor	meta_L_IFG	kj	KJ	3	retrieval	0.1642539151299643	4
sub-06	meta_metaphor	meta_L_IFG	kj	KJ	4	retrieval	0.05543812802833502	4
sub-06	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	3	retrieval	0.059318132585950194	30
sub-06	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	4	retrieval	0.010013559736177118	30
sub-06	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	3	retrieval	0.01628017421395689	4
sub-06	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	4	retrieval	0.04406521547311182	4
sub-06	meta_metaphor	meta_L_temporal_pole	yy	YY	3	retrieval	0.01046152460986655	30
sub-06	meta_metaphor	meta_L_temporal_pole	yy	YY	4	retrieval	-0.013663267336221903	30
sub-06	meta_metaphor	meta_L_temporal_pole	kj	KJ	3	retrieval	-0.0046327298097902665	4
sub-06	meta_metaphor	meta_L_temporal_pole	kj	KJ	4	retrieval	-0.07060527506263402	4
sub-06	meta_metaphor	meta_R_AG	yy	YY	3	retrieval	-0.022021868713328632	30
sub-06	meta_metaphor	meta_R_AG	yy	YY	4	retrieval	0.08376109708759386	30
sub-06	meta_metaphor	meta_R_AG	kj	KJ	3	retrieval	0.004730486660397146	4
sub-06	meta_metaphor	meta_R_AG	kj	KJ	4	retrieval	0.07651407043847298	4
sub-06	meta_metaphor	meta_R_IFG	yy	YY	3	retrieval	-0.01952246597986795	30
sub-06	meta_metaphor	meta_R_IFG	yy	YY	4	retrieval	-0.0010660436538648824	30
sub-06	meta_metaphor	meta_R_IFG	kj	KJ	3	retrieval	-0.0920086168497302	4
sub-06	meta_metaphor	meta_R_IFG	kj	KJ	4	retrieval	0.132606242347353	4
sub-06	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	3	retrieval	0.004281418794791786	30
sub-06	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	4	retrieval	0.009691630165302936	30
sub-06	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	3	retrieval	-0.1288664299013298	4
sub-06	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	4	retrieval	0.0731674480114238	4
sub-06	meta_metaphor	meta_R_temporal_pole	yy	YY	3	retrieval	-0.03242566080539622	30
sub-06	meta_metaphor	meta_R_temporal_pole	yy	YY	4	retrieval	0.04528708554732551	30
