roi_set	roi	variant	response	status	n_trials	n_subjects	ers_beta	ers_se	ers_p	condition_beta	condition_p	interaction_beta	interaction_p	family	q_bh_within_family
meta_metaphor	meta_L_IFG	run4_to_retrieval	log_rt_correct	ok	614	26	-0.03778512270702089	0.035530180923731156	0.2875708888071866	-0.06740180388857898	0.09599307645180324	0.046831840548696047	0.16682421609901987	gaussian	0.48105301442338444
meta_metaphor	meta_L_temporal_pole	run4_to_retrieval	log_rt_correct	ok	614	26	0.02743771843025703	0.028608407630505706	0.33751902886574103	-0.06711829434054731	0.08607622038181056	-0.030447013138500827	0.3494354065022083	gaussian	0.48105301442338444
meta_metaphor	meta_R_AG	run4_to_retrieval	log_rt_correct	ok	614	26	-0.042178434964842554	0.04615409097755333	0.36078976081753833	-0.07659915201548247	0.0744033501304977	0.036481337596353074	0.3900941467294984	gaussian	0.48105301442338444
meta_metaphor	meta_L_AG	run3_to_retrieval	memory	ok	884	26	0.23304063764513752	0.20434214824014085	0.2541016544068566	0.5355889601741206	0.0014970638728768997	-0.21036067646379983	0.3691178734979724	binomial	0.5082033088137132
meta_metaphor	meta_R_pMTG_pSTS	max_run_to_retrieval	log_rt_correct	ok	614	26	-0.05515721484561901	0.04124846942535446	0.18115924854737553	-0.07006454080319144	0.10253973502078842	0.04874624920879439	0.25229076209886403	gaussian	0.5209077472662894
meta_metaphor	meta_L_IFG	max_run_to_retrieval	log_rt_correct	ok	614	26	-0.04809514016522643	0.037032950895837476	0.19404276169391332	-0.06062830007513015	0.1183125640569208	0.061754684193037285	0.043344519413297214	gaussian	0.5209077472662894
meta_metaphor	meta_L_AG	max_run_to_retrieval	log_rt_correct	ok	614	26	-0.03131148634746744	0.026921611012154487	0.244804595417215	-0.06168479377410757	0.12681702181617827	0.04559282260068274	0.12256541084226792	gaussian	0.5209077472662894
meta_metaphor	meta_R_temporal_pole	max_run_to_retrieval	log_rt_correct	ok	614	26	-0.024524797943437777	0.024384809764856262	0.31454027403512297	-0.06697109412272792	0.10757910452205371	0.01753047375094084	0.5284536205314844	gaussian	0.5209077472662894
meta_metaphor	meta_L_temporal_pole	max_run_to_retrieval	log_rt_correct	ok	614	26	0.03774466777152588	0.03839424180015828	0.3255673420414309	-0.06708862982609319	0.08852980751626997	-0.04466161202161489	0.26636694014131457	gaussian	0.5209077472662894
meta_metaphor	meta_R_temporal_pole	run3_to_retrieval	memory	ok	884	26	-0.1742987536802442	0.2086412141789764	0.4034928444991488	0.5957175659260158	0.0004545765921972266	0.20331502847750615	0.2191486935720528	binomial	0.5270356977986366
meta_metaphor	meta_L_pMTG_pSTS	run3_to_retrieval	memory	ok	884	26	-0.1449986276209925	0.18462116112035187	0.43222807276309694	0.6060500759167583	0.0004256097271830467	0.22615672246986956	0.21819791944399614	binomial	0.5270356977986366
meta_metaphor	meta_R_IFG	run3_to_retrieval	memory	ok	884	26	0.14311981878358712	0.1942071102663523	0.461156235573807	0.5849447272896017	0.0005912079426502315	-0.15481439242302486	0.4455556582110971	binomial	0.5270356977986366
meta_metaphor	meta_R_IFG	max_run_to_retrieval	log_rt_correct	ok	614	26	0.021621935281720267	0.027762680324501476	0.43608990139115344	-0.06671881095335115	0.10556499168281945	-0.022506969752202587	0.469461848582436	gaussian	0.5814532018548713
meta_metaphor	meta_R_temporal_pole	max_run_to_retrieval	memory	ok	884	26	-0.274820482694306	0.1594884593821045	0.08486373364302904	0.5700009893082243	0.0008640439148633557	0.360888862984807	0.014123589077043197	binomial	0.5981430208689043
meta_metaphor	meta_R_AG	max_run_to_retrieval	memory	ok	884	26	0.31444683559220177	0.23599973881310785	0.18272769163104186	0.5905452871279672	0.000372112386664568	-0.17856188273037227	0.4677806875121453	binomial	0.5981430208689043
meta_metaphor	meta_R_pMTG_pSTS	max_run_to_retrieval	memory	ok	884	26	0.1977826167110948	0.16276210699521643	0.2243036328258391	0.567558404916893	0.0008632336283190493	-0.13164275489421282	0.39479552844847343	binomial	0.5981430208689043
meta_metaphor	meta_R_AG	max_run_to_retrieval	log_rt_correct	ok	614	26	-0.029338254608267587	0.05200068253799817	0.5726249697280449	-0.07089331109246053	0.08671337805464385	0.0400312911335719	0.40029967526867105	gaussian	0.6544285368320513
meta_metaphor	meta_L_IFG	run3_to_retrieval	memory	ok	884	26	0.05963611106642988	0.16510675876641448	0.7179519803521033	0.5825159067538231	0.00044876758627478895	0.06283940685187811	0.7554973696737244	binomial	0.7179519803521033
meta_metaphor	meta_R_IFG	run4_to_retrieval	log_rt_correct	ok	614	26	-0.011761058793573288	0.028141181035081144	0.6759979077985959	-0.07111451795120514	0.09011661759602602	0.008984809752791338	0.7687716063934318	gaussian	0.7429100360764944
meta_metaphor	meta_L_pMTG_pSTS	run4_to_retrieval	log_rt_correct	ok	614	26	0.011215754420348646	0.03419414896532919	0.7429100360764944	-0.06778950948914003	0.08815758967325797	0.000929922555084827	0.9785695394229331	gaussian	0.7429100360764944
meta_metaphor	meta_L_AG	run4_to_retrieval	memory	ok	884	26	0.1393380648922674	0.15919254562175547	0.38142152723194556	0.5546349677067112	0.0027107356540976824	-0.023764156482818596	0.8880677193853141	binomial	0.763853694883085
meta_metaphor	meta_R_temporal_pole	run4_to_retrieval	memory	ok	884	26	-0.1572890891124031	0.19288847746639462	0.41482017238663926	0.5659036113969211	0.002087014939819549	0.19211538526851302	0.21879844112637237	binomial	0.763853694883085
meta_metaphor	meta_L_temporal_pole	run4_to_retrieval	memory	ok	884	26	0.1395087298402606	0.20615923511200182	0.49859392951076764	0.5874570154470409	0.0006090838744382261	-0.16353137523160874	0.4619034968058112	binomial	0.763853694883085
meta_metaphor	meta_R_pMTG_pSTS	run4_to_retrieval	memory	ok	884	26	0.06317669384321606	0.1649321510844068	0.7016852387562253	0.5790320502185542	0.0005974485473528962	0.025257879786890067	0.8714034168437901	binomial	0.763853694883085
meta_metaphor	meta_L_pMTG_pSTS	run4_to_retrieval	memory	ok	884	26	0.06940699391722434	0.18645783081397532	0.7097144423712121	0.5893974470615241	0.0008382527282593502	-0.10705153582122443	0.5897597454430157	binomial	0.763853694883085
meta_metaphor	meta_L_IFG	run4_to_retrieval	memory	ok	884	26	0.046483396661228846	0.15422635244601945	0.7631116001771058	0.5816604821669276	0.0007544121524695381	-0.006407700713286373	0.9689283826255363	binomial	0.763853694883085
meta_metaphor	meta_R_AG	run4_to_retrieval	memory	ok	884	26	0.0717126859769799	0.23870484983020446	0.763853694883085	0.5999416531067336	0.0012931998013300356	0.0013149503830060054	0.9959782684400545	binomial	0.763853694883085
meta_metaphor	meta_L_AG	max_run_to_retrieval	memory	ok	884	26	0.16683458136001206	0.205937327904696	0.41786944335770493	0.5454597490934524	0.003770262679363337	-0.01664711739774591	0.9387735878699935	binomial	0.7792472496648315
meta_metaphor	meta_R_IFG	max_run_to_retrieval	memory	ok	884	26	0.15166017623319522	0.21820317011237467	0.4870295310405197	0.5993955612986341	0.00040617802831879125	-0.052672381196379466	0.8026379487795945	binomial	0.7792472496648315
meta_metaphor	meta_L_pMTG_pSTS	max_run_to_retrieval	log_rt_correct	ok	614	26	-0.004165024334842296	0.0249314912654829	0.8673238046173916	-0.06852871838134944	0.09262109086848593	0.00845717752613753	0.7688247890040559	gaussian	0.8673238046173916
meta_metaphor	meta_R_AG	run3_to_retrieval	log_rt_correct	ok	614	26	0.013001695491483355	0.03627397247026074	0.720021223708917	-0.07012938805667972	0.08363507375255513	0.005081715843945456	0.8801387035110206	gaussian	0.932688698203749
meta_metaphor	meta_R_pMTG_pSTS	run3_to_retrieval	log_rt_correct	ok	614	26	0.014726871896524291	0.043277366802475854	0.7336378557504357	-0.06878087992118585	0.0814290429071369	-0.028680485813394177	0.4717444748249976	gaussian	0.932688698203749
meta_metaphor	meta_R_IFG	run3_to_retrieval	log_rt_correct	ok	614	26	0.008313998248114192	0.03574981142908733	0.8161026109282804	-0.06809596402358083	0.09834864576296752	-0.014846036171062518	0.6887714102150571	gaussian	0.932688698203749
meta_metaphor	meta_L_AG	run3_to_retrieval	log_rt_correct	ok	614	26	0.0022124873590809004	0.026604488630598815	0.9337225819268301	-0.06946448382724825	0.0842117223821079	0.01216264827257135	0.6967900994601933	gaussian	0.9337225819268301
meta_metaphor	meta_L_IFG	max_run_to_retrieval	memory	ok	884	26	-0.018333346698514004	0.15280714677323318	0.9045013487513411	0.5888178320319591	0.0005604777951992943	0.14612938484116075	0.3281399074196476	binomial	0.9878157205577778
meta_metaphor	meta_L_pMTG_pSTS	max_run_to_retrieval	memory	ok	884	26	-0.006130302571249334	0.20358927042882025	0.9759784259349408	0.5884766440012813	0.0006519305807053877	0.060455418247068654	0.7722223811926598	binomial	0.9878157205577778
meta_metaphor	meta_L_temporal_pole	max_run_to_retrieval	memory	ok	884	26	0.0033751520474281692	0.22101241622357978	0.9878157205577778	0.5867308643989988	0.0008080779820237256	-0.02159200548950261	0.9267515072491763	binomial	0.9878157205577778
