subject	roi_set	roi	condition	condition_label	pair_id	word_label	variant	ers	memory	action_time	n_run3_trials	n_run4_trials	n_retrieval_trials
sub-01	meta_metaphor	meta_L_AG	yy	YY	29	yyw_7	max_run_to_retrieval	0.20325282266587166	1.0	605.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	3	yyw_3	run3_to_retrieval	-0.016805870942048468	1.0	588.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	3	yyw_3	run4_to_retrieval	-0.6335848946045084	1.0	588.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	3	yyw_3	max_run_to_retrieval	-0.016805870942048468	1.0	588.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	32	yyw_37	run3_to_retrieval	0.27115332100592	0.0	1118.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	32	yyw_37	run4_to_retrieval	-0.3822385865422016	0.0	1118.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	32	yyw_37	max_run_to_retrieval	0.27115332100592	0.0	1118.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	33	yyw_38	run3_to_retrieval	-0.053102574838388414	1.0	625.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	33	yyw_38	run4_to_retrieval	0.15884897789797015	1.0	625.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	33	yyw_38	max_run_to_retrieval	0.15884897789797015	1.0	625.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	35	yyw_40	run3_to_retrieval	0.2581528060736033	1.0	634.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	35	yyw_40	run4_to_retrieval	0.5163107499469473	1.0	634.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	35	yyw_40	max_run_to_retrieval	0.5163107499469473	1.0	634.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	4	yyw_4	run3_to_retrieval	0.3008595176714278	1.0	713.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	4	yyw_4	run4_to_retrieval	0.2680174448168956	1.0	713.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	4	yyw_4	max_run_to_retrieval	0.3008595176714278	1.0	713.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	5	yyw_5	run3_to_retrieval	-0.3875570046964568	0.0	642.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	5	yyw_5	run4_to_retrieval	-0.3612212447741315	0.0	642.0	1	1	2
