analysis_type	roi_set	roi	condition	condition_label	variant	n_subjects	mean_ers	t	p	cohens_dz	q_bh_within_family
ers_one_sample_gt_zero	meta_metaphor	meta_L_IFG	yy	YY	run3_to_retrieval	26	0.05375247589647095	3.074381922181886	0.005046443038098447	0.6029359005170127	0.04037154430478758
ers_one_sample_gt_zero	meta_metaphor	meta_R_AG	kj	KJ	run4_to_retrieval	26	0.10137335730953421	2.48145110321934	0.020164383367504642	0.48665259989775994	0.06452602677601485
ers_one_sample_gt_zero	meta_metaphor	meta_L_IFG	yy	YY	run4_to_retrieval	26	0.04920585719529159	2.381961082681425	0.025146147454923676	0.4671410015850455	0.0670563932131298
ers_one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	run3_to_retrieval	26	0.06804864110782724	2.3118157234362777	0.029312611057060824	0.4533843648320078	0.1406159424116809
ers_one_sample_gt_zero	meta_metaphor	meta_R_AG	yy	YY	run3_to_retrieval	26	0.06187292348876873	2.2274362667053875	0.035153985602920226	0.43683619189288586	0.1406159424116809
ers_yy_minus_kj	meta_metaphor	meta_L_AG	yy_minus_kj	YY-KJ	run4_to_retrieval	26	0.08026584184084912	2.517736710307639	0.018586915685865065	0.49376879292105985	0.14869532548692052
ers_one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	yy	YY	run3_to_retrieval	26	-0.025622872707492656	-1.7953558691360725	0.08469622647388138	-0.3520982542526218	0.23309311161338017
ers_one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	yy	YY	run3_to_retrieval	26	-0.03590286245584416	-1.7789592012473021	0.08740991685501756	-0.3488826031171318	0.23309311161338017
ers_one_sample_gt_zero	meta_metaphor	meta_R_IFG	kj	KJ	run4_to_retrieval	26	0.06457465326040622	1.6343073301077748	0.11472584632275594	0.32051403720874116	0.24901223696363542
ers_one_sample_gt_zero	meta_metaphor	meta_R_AG	yy	YY	run4_to_retrieval	26	0.033491257489501776	1.5895414603913816	0.12450611848181771	0.3117347278538626	0.24901223696363542
ers_yy_minus_kj	meta_metaphor	meta_R_temporal_pole	yy_minus_kj	YY-KJ	run4_to_retrieval	26	-0.033124960393992965	-1.7138609289703606	0.09892895776133076	-0.33611578155400484	0.2723801304379891
ers_yy_minus_kj	meta_metaphor	meta_R_AG	yy_minus_kj	YY-KJ	run4_to_retrieval	26	-0.06788209982003242	-1.696851695087913	0.10214254891424591	-0.33277999634331784	0.2723801304379891
ers_one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	yy	YY	run4_to_retrieval	26	0.024549638292551714	1.4038049369006913	0.17267771187357578	0.2753087987128659	0.3069825988863569
ers_yy_minus_kj	meta_metaphor	meta_L_AG	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.07067542804524132	2.168202320019897	0.03986391883997284	0.42521945919994636	0.3189113507197827
ers_yy_minus_kj	meta_metaphor	meta_R_IFG	yy_minus_kj	YY-KJ	run4_to_retrieval	26	-0.048217452992474125	-1.4197773140305592	0.16802297186443466	-0.2784412395845451	0.3360459437288693
ers_one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	kj	KJ	run3_to_retrieval	26	-0.04573058070600714	-1.3634945858554917	0.18488007144341817	-0.26740328845981787	0.3489127985035663
